Country,State,City,Name,Category - Final,Description,Website
United States, North Carolina,Pittsboro,3DFS Software-Defined Electricity,Energy,"3DFS Software-Defined Electricity delivers perfect energy transfer that stabilizes electrical networks w/ #edgecomputing, #AI & #analytics",https://www.3dfs.com
United States, California,San Francisco,3DLOOK,E-Commerce,3DLOOK develops an instant human body scanning technology that works on mobile devices and doesnâ€™t require any additional hardware.,http://3dlook.me/
Israel, HaMerkaz,kfar saba,3DSignals,Automation,,https://www.3dsig.com
China,,Shenzhen,3Glasses,Entertainment,,http://www.3glasses.cn/
United States,California,San Francisco,3scan,Healthcare,,http://www.3scan.com/
United States,California,Santa Clara,3TEN8,Core AI,"3TEN8 has simplified wireless network monitoring and operations from the ground up because engineers should spend more time improving customer experience and less time searching out problems in UNIX command-line interface. 3TEN8s software integrates directly into the infrastructure of carriers networks with the ability to drive reporting and real-time and predictive analytics, empowering engineers to track, report and manipulate network data and ultimately help the network learn.",http://www.3ten8.ai
United States, California,Pasadena,42 Interactive,Communication,Ask the right questions,http://42interactive.com/
Canada,Ontario,Toronto,42 Technologies,Text Analytics,"42 is a predictive analytics platform that leverages point-of-sale data to provide an in-depth understanding of what each person likes, so retailers have a better idea of how to engage customers.",http://www.42technologies.com
United States, California,San Francisco,451 Degrees,Sales/Marketing,"Next-generation application delivery network that automatically optimizes content in real-time by analyzing user generated comments to enhance engagement, SEO, search traffic, and online advertising sales.",http://www.451degrees.com/
Germany,,Kongen,5Analytics,Software Development,"The 5Analytics AI platform enables users to use artificial intelligence to automate important commercial decisions and implement digital business models. Their software was conceived to be integrated in processes and can support a large number of users and handle a high volume of data, because the load is distributed among several physical servers (scale out).",http://www.5analytics.com
United States,California,San Francisco,6Sense Insights,Sales/Marketing,"6sense predicts who will buy what products when and where they are in the buyer's journey. The company's predictive intelligence platform helps B2B marketing and sales leaders uncover net-new, in-market prospects based on powerful data science and billions of time-sensitive intent interactions. The 6sense platform combines robust data science and machine learning with a groundbreaking one-of-a-kind ""Buyer Intent Network"" that captures time-based, structured and unstructured behavioral data from thousands of sources. The platform currently processes billions of rows of buyer intent data every month from search engines, industry trade publications, blogs, forums and communities. As a result, 6sense is uniquely equipped to help its customers identify prospects in new markets and verticals â€“ or find buyers with a need for products in new market categories.",http://www.6sense.com
United States, New York,New York,7 Chord,Fintech,FinTech firm that uses Machine Learning (A.I.) to automate pricing and execution in corporate bonds. Corporate Bond Electronic Trading,http://www.7-chord.com/
Netherlands,,Venlo,8vance,Human Resources,"8vance created, a self-learning matching techn. that makes complex, inefficient markets transparent, fast with lower costs, higher quality.",http://www.8vance.com
Netherlands,,Amsterdam,904Labs,Text Analytics,,https://www.904labs.com/en/
China,,Haidian District,A-Eye,Healthcare,"Beijing Athena Eyes Science & Technology Co., Ltd. is a private company offering biometrics technology and services. ",http://www.a-eye.cn
United Kingdom,England,London,A.I. Music Group,Entertainment,"A.I. Music Group aims to drive profound change across the music ecosystem through the application of the latest A.I. techniques, in addition to continually identifying and investing in forward-thinking companies that match these ambitions.",http://www.aimusic.co.uk
United States, California,San Jose,A3CUBE,Data Analytics,"Address key inefficiencies when executing data and computation intensive applications, providing outstanding performance at lower TCO on scale-out architecture, but without requiring software changes and supporting operational software-defined features, and global performance monitoring.",http://www.a3cube-inc.com/
Germany,,Berlin,Aaron,Communication,,https://aaron.ai
United States,,,Aatonomy,Software Development,Aatonomy develops machine learning software to be compatible with drones that runs on a user's smartphone.,http://www.aatonomy.com
United Kingdom,,London,ABAKA,Communication,,http://www.abaka.me/
China,,Beijing,Abbott Technology,Business Intelligence,Abbott Technology is an AI-driven cloud service provider promoting business intelligence transformation.,http://www.abcfintech.com
United States, Florida,Orlando,Abe AI,Fintech,"Abe.ai designs artificial intelligence solutions for the banking industry, helping banks better engage and support their customers at scale; significantly reducing the costs of servicing and acquiring customers through the use of chatbots.",https://www.abe.ai/
Japan, Tokyo,Tokyo,ABEJA,Automation,Industrial Structure Transformation -Cloud and Edge Deep Learning Platform for various industry-,http://www.abeja.asia
Japan,,Tokyo,Abeja Platform,Automation,ABEJA Platform Provide an optimal artificial intelligence based architecture for the fourth industrial revolution era.,https://www.abeja.asia/
China,,Beijing,Abitai,E-Commerce,"Abitai (æ™ºèƒ½ä¸€ç‚¹) is an artificial intelligence company developing technology to enhance the customer experience, with solutions including personalized content recommendations, interactive experiences, and more.",http://www.abitai.com
United States, California,Los Angeles,Abot Labs Inc,Communication,AI-powered Customer Service,https://www.abotlabs.com/
United States,,New Port Beach,Abstract Regression-Classification Machine Learning Library,,"Abstract Regression-Classification Machine Learning Library, or ARC, is a software created by Michael Korns, enables the use of a human-machine hybrid learning approach that incorporates human guidance in the machine learning training process to produce more reliable outputs related to credit offers.",http://www.lanterncredit.com/
United States, California,Milpitas,Abzooba Inc.,Communication,"Abzooba, a social media analytics platform, employs natural language processing techniques to provide real-time intelligence and insights.",http://www.abzooba.com/
United Kingdom,England,London,Academy of Robotics,Transportation,"Academy of Robotics is developing Kar-Go, an Artificial Intelligence controlled driverless delivery vehicle designed to deliver multiple packages to multiple addresses in residential areas.",http://www.academyofrobotics.co.uk
United Kingdom,,London,Accelerated Dynamics,Internet of Things,"Using machine learning, planning and multi-agent technologies, Accelerated Dynamics is building a full-stack robot intelligence solution that is optimised for enterprise applications. We transform drones, autonomous cars, satellite systems, unmanned boats into IoT devices that do not require human operators anymore.",https://www.accelerateddynamics.co/
India,,Nagpur,Accelo,Internet of Things,Accelo is an Artificial Intelligence based Internet of Things start-up with the vision of ensuring road safety in India by providing preventive solutions to drivers as well as accident response time management.,https://www.accelo.com
United States, California,Los Altos,Accompany,Communication,Give your relationships an AI upgrade.,https://www.accompany.com
Canada, Ontario,Toronto,Account HQ,Sales/Marketing,"Re-booting CRM by putting the focus on end users using the latest in tech, game design theory, consumer UX & AI + Machine Learning.",https://www.accounthq.com/
United States, Illinois,Chicago,Accrumental Inc.,Fintech,"Accrumental’s innovative financial wellness platform aggregates all of a user’s accounts in one place, granting a level of insight and control that goes beyond normal banking applications.",https://accrumental.com/
Germany,,Frankfurt,Acellere,Software Development,"Acellere is a software technology and services company, with clients and offices across the globe. Acellere offers software services to clients worldwide, leveraging its artificial intelligence based software development platform, which enables a quantum leap in speed, quality and productivity over today's service providers.",http://www.acellere.com
United States, Illinois,Schaumburg,Acer Innovation,Data Analytics,Acer Innovation is a global analytics firm leveraging data science to help Fortune 500 firms.,http://www.acerinnovation.com/
United States, California,Sunnyvale,Acobot,Communication,Acobot is a mobile device app that allows users to interact with their friends and a robot through text.,http://acobot.com/
United States,California,Santa Cruz,Acorn,Geolocation,"Acorn is a machine-learning social reminder app for iOS that relies on geographic locations. For example, if you are heading to a location where it is raining, Acorn's technology will remind you to grab an umbrella as you are leaving your house.",http://www.acornapp.co
Germany,,Berlin,Acrolinx,Software Development,,https://www.acrolinx.com/
United States, California,San Ramon,Acrossio (Across Lab Inc.),Human Resources,Acrossio is a context-augmented Intelligence Platform for Enterprise high-stakes discussions and teams who demand more productivity and efficiency from them.,https://www.acrossio.com/
United Kingdom,England,London,Action AI,Communication,"Action AI, or Action Artificial Intelligence, supports engineering teams to develop commercial-strength Intelligent Chatbots. The technology enables services to be launched without huge capex or expertise in AI and Chatbots.",http://www.action.ai
Israel, Tel Aviv,Tel Aviv,Actionbar,Communication,"ActionBar is an intelligent search box that carries out the tasks the user struggle to find in a web app. It's a help button ""on steroids"" powered by NLP that does what the user needs + provides user insights to the company.",https://www.actionbar.io
United States,New York,New York,ActionIQ,Sales/Marketing,"ActionIQ is an innovative Enterprise Customer Data Platform for marketers, analysts, and technologists. We move marketing forward through the power of data, insightful analytics, and seamless marketing integration - filling in the white space left by all the Marketing Clouds.",https://www.actioniq.com
Singapore, Central Region,Singapore,Active.ai,Fintech,"Active.ai develops intelligent virtual assistants for financial service institutions. These virtual assistants come in the form of bots, SMS or voice API's. The Enterprise Platform is delivered over Cloud or On premise.",http://www.active.ai
United States, New York,New York,Actively,Healthcare,We increase consumer retention for boutique fitness studios by providing intuitive mobile experiences.,https://actively.ai/
United Kingdom,,West Sussex,Acuity Trading,Fintech,"Acuity Trading is a sentiment-based technology company focused on bringing big data solutions to the retail investment community including online brokers and platform providers. Acuity Trading uses sophisticated ML and NLP technology to analyse millions of news items daily and quantify the mood of the market towards any given stock, currency or index.",http://www.acuitytrading.com
Canada,Ontario,Toronto,AcuityAds,Sales/Marketing,"AcuityAds (OTCQB: ACUIF) is a provider of targeted digital media solutions enabling advertisers to connect intelligently with audiences across mobile, video, social, and display.",http://www.acuityads.com
United States, California,San Francisco,acuteIQ,Communication,Customer acquisition powered by audience intelligence,http://acuteiq.com/
Germany,,Berlin,Ada,Healthcare,,https://ada.com/
United States,California,San Juan Capistrano,AdaptiveWell Technologies,Automation,"AdaptiveWell provides a unique, automated decision support technology that combines critical aspects of machine learning, optimization and Big Data analytics while leveraging operational and planning data to solve the most relevant and cost-effective optimization problems.",http://www.adaptivewell.com
Singapore, Central Region,Singapore,AdAsia Holdings,Sales/Marketing,AdAsia Holdings is a technology company with solutions in AI and marketing. The company intends to scale across multiple industries., https://adasiaholdings.com/
Israel, Asia,Israel,Adasky,Transportation,Adasky is a small team of experts that develops technology to make cars safer with sensing and perception solutions.,http://www.adasky.com
United Kingdom,England,London,Adbrain,Sales/Marketing,"Adbrain is a global provider of customer ID mapping solutions used by digital marketers to target and measure consumers across devices, channels, and platforms. The Adbrain Platform is integrated with more than 100 marketing automation and analytics solutions and digital advertising sales and buying platforms.",http://www.adbrain.com
United States, Massachusetts,Waltham,AdDaptive Intelligence,Sales/Marketing,"AdDaptive Intelligence transforms real-world, offline data into actionable targeting segments for digital advertising.",https://www.addaptive.com/
Italy,,Torino,Addfor,Automation,,https://www.add-for.com/
United States, Illinois,Chicago,AddStructure,Sales/Marketing,"Better search that empowers your customers on every platform. AddStructure helps retailers offer a white-labeled natural language understanding (NLU) platform that Retailers and Brands can use to enable conversational commerce channels. Each day, millions of consumers interact with AddStructure's products: Signal Search, Path, and Scaffold. Applications of the technology ranges from review summarization (distilling thousands of reviews of a product into digestible pros and cons) to a complete conversational commerce system (chatting with an intelligent digital assistant to find and purchase products).",http://www.addstructure.com
Switzerland,,Zurich,Adello,Sales/Marketing,"Adello is a European programmatic media-buying platform for mobile advertising. Adello's intelligent real-time targeting platform, AdCTRL, is based on Big Data technology break- through that allows to analyze petabytes of data at millisecond latency. AdCTRL's real-time machine- learning algorithms update targeting strategies 100,000 times a second. The platform self-optimizes for maximum marketing ROI for both brand and direct response campaigns. It fulfills highest brand safety requirements and serves industries including telcos, automotive, and consumer goods.",http://www.adello.com
Canada,Ontario,Toronto,Adeptmind,Communication,"Adeptmind is an online smart search. It helps users' search engines understand customers the way in-store employees do in order to connect people to the products they are looking to buy. Its deep learning engine is self-aware, so when it can't answer a request it can seek help from customer service agents.",http://www.adeptmind.ai
United States, California,Palo Alto,ADEXT,Sales/Marketing,ADEXT is delivering sales to SMBs through fully automated campaigns using machine learning.,http://www.adext.com
United States,New York,New York,Adgorithms,Sales/Marketing,"Adgorithms develops artificial intelligence (AI) to deliver a self-driving programmatic media-buying platform for online display, mobile, video and social advertising campaigns worldwide. Founded by passionate industry veterans, Adgorithms' team is constructed of specialists in the fields of AI, big data analysis, applied math and behavioral sciences to continually refine its patent-pending predictive technology and increase automations for marketers. Adgorithms democratizes access to self-driving advertising that is optimized by machine intelligence for any size campaign or company. The company is headquartered in Tel Aviv, with a sales and marketing office in New York.",http://www.adgorithms.com
United States, Massachusetts,Boston,Adhark,Computer Vision,Adhark is an image performance software company.,http://www.adhark.com/
Israel, Tel Aviv,Tel Aviv,AdiMap,Sales/Marketing,,http://www.adimap.com/#/
Israel, HaMerkaz,kfar saba,Adjesty,Sales/Marketing,,http://adjesty.com
United States,Connecticut,West Hartford,ADmantX,Sales/Marketing,"ADmantX is a contextual analysis and data provider that brings audience targeting to a new level. Awarded patent for semantic advertising technology, the company offers a cookie-less solution to allow publishers, ad networks and exchanges, brand managers and agencies to develop more effective online ad campaigns leveraging semantic understanding, natural language processing and sentiment analysis. Founded in Italy as a spin-off of the leading semantic company Expert System, ADmantX is active in Europe and US. Worldwide customers include NBCUniversal, Integral Ad Science, Networked Insights, Banzai, Adconion Media Group, Cadreon, Amnet, Sojen, Media IQ and we're integrated in key DSP players such as Turn, Adform, AppNexus.",http://www.admantx.com
United States, Texas,Austin,AdMass,Sales/Marketing,AdMass is a influence marketing firm specializing in matching brands to influencers to reach target audiences.,https://www.admassinc.com/
United Kingdom,,London,Admedo,Sales/Marketing,,https://www.admedo.com
Sweden,,Gothenburg,ADMETA,Sales/Marketing,"Admeta provides sophisticated yield optimization solutions that help premium publishers significantly improve digital revenue. Admeta's core functionality includes Artificial Intelligence-based learning, dynamic floor pricing, full premium programmatic support for private marketplaces and Deal ID.",http://www.admeta.com
United States,Massachusetts,Boston,AdmitHub,Education,"AdmitHub optimizes the admissions process for students, counselors and colleges.",http://www.admithub.com
United States, Florida,Miami,AdMobilize,Computer Vision,"AdMobilize is the market-leader in audience intelligence. Making sense of the physical world w/ ""all-in-one"" computer vision & AI platform.",https://www.admobilize.com
United Kingdom,,London,Adnow,Sales/Marketing,,https://adnow.com/
France,,Paris,Adomik ,Sales/Marketing,Adomik is a leading provider of programmatic analytics and yield management technology for media sellers.,http://www.adomik.com/
United Kingdom,,Belfast,Adoreboard,Sales/Marketing,,https://adoreboard.com
India, Maharashtra,Mumbai,Adoro Marketplace,E-Commerce,An Artificial Intelligence based hyper-personal shopping platform,www.adoro.in/
United States,California,Menlo Park,AdPop Media,Sales/Marketing,"Adpop Media inserts advertising into the 3D space of any video… The Company uses machine learning, computer vision, and 3D geometry reconstruction, to develop algorithms of the source region…",http://www.adraid.com
United States,New York,New York,Adtheorent,Sales/Marketing,,http://adtheorent.com/
United States,New York,New York,AdTheorent,Sales/Marketing,"AdTheorent is a New York-based company that has developed the Real-Time Bidding (RTB)-enabled mobile ad network. AdTheorent has created an ad network that delivers true real-time impressions to marketers, rather than relying on antiquated bulk impression buys. Using real-time learning methodologies, AdTheorent delivers intelligence-driven and transparent buying that embodies a broad spectrum of publishers, rather than a select set of inventory. AdTheorent has created a second-generation mobile ad network, which integrates premium mobile sites, brand safety, custom execution, and managed services with a data-driven predictive modeling platform that delivers what we call The Intelligent Impression.",http://www.adtheorent.com
China,,Haidian District,Advance.ai,Defense/Security,,https://www.advance.ai/cn/
India,,Chandigarh,Advenio TecnoSys,Healthcare,"Advenio TecnoSys was founded with a vision to provide artificial intelligence, deep learning and machine learning based computer assisted detection (CADx) for diagnostic clinical imaging. ",http://www.adveniotecnosys.com
Switzerland,,St. Gallen,Advertima,Sales/Marketing,"Advertima creates an artificial intelligence that analyzes people in its surroundings. It recognizes features like age, gender, emotions, etc. and reacts by creating personalized and positive experiences.",http://www.advertima.com
Canada,,,Advocate Cognitive Technologies,Communication,"ACTI's legal software (Hux) uses artificial intelligence computing technologies to analyze and extract meaning and relationships from text and voice material, identify relevant information, and complete legal documents.",http://www.advocatecognitive.com/
United States,California,San Francisco,Adya,Defense/Security,Adya is a SaaS service based on a big data and machine learning stack that helps companies protect their data from employee theft and ransomware â€“ a problem that affects more than 70% of enterprises.,http://www.adya.io
United States,Colorado,Boulder,AeroState,Geolocation,"AeroState is a web and mobile platform that provides worldwide air quality forecasts at city-block resolution. With AeroState's physics and chemistry models, ground observations, satellite imagery, and machine learning, AeroState is able to produce verifiable data air quality maps and forecasts.",http://www.aerostate.org
United Kingdom,,London,Aesthetic Integration,Defense/Security,,https://www.imandra.ai/
United States, California,San Francisco,Aetho,Core AI,"Rooted in human-centered design, Aetho redefines human interaction by connecting people and information in immersive environments.",http://timewethrive.com/
United States,California,Pleasanton,AEYE,Computer Vision,"AEYE, formerly US LADAR, develops advanced vision hardware, software and algorithms that act as the eyes and visual cortex of autonomous vehicles.",http://www.aeye.ai
Japan,,Boston,Affectiva,Computer Vision,,
United States, Massachusetts,Boston,Affectiva,Computer Vision,"Affectiva, an MIT Media Lab spin-off, is focused in emotion recognition technology, the next frontier of artificial intelligence. Affectiva brings emotional intelligence to the digital world by measuring and analyzing facial expressions of emotion. Its emotion-sensing and analytics software is built on an emotion AI science platform that uses deep learning and the world's largest emotion data repository of nearly 4 million faces analyzed from 75 countries, amounting to more than 50 billion emotion data points. Affectiva is used by more than 1,400 brands to gather insight and analytics in consumer emotional engagement. The company also provides developers the tools to add emotion-sensing and analytics to their own games, mobile apps, devices, applications and digital experiences. Affectiva's emotion recognition technology is used in many different industries including gaming, media and advertising, market research, robotics, automotive, online education, healthcare, retail, human resources, training and coaching, video communication, experiential design, and in wearables and devices.",http://www.affectiva.com
Canada,Nova Scotia,Halifax,Affinio,Text Analytics,"Affinio, founded in 2013, uses big data to help marketers and advertisers increase campaign lift, engagement, and conversion. Unlike traditional cookie/pixel-based tracking technologies, Affinio analyzes the underlying network graph of billions of social connections and related content in real-time to identify audiences with similar interests, behaviors, and networks.",http://www.affinio.com
United States, California,San Francisco,Affirm,Fintech,"At Affirm, we’re using today’s technology to bring significant disruptive innovation to the financial industry. We focus on improving the lives of consumers by delivering simple, honest and transparent financial products.",https://www.affirm.com/
Canada,Newfoundland and Labrador,St. John's,Afinin Labs,Core AI,"Afinin Labs has a proprietary machine learning system that identifies and adapts to trends in the financial markets.   The system generates buy/sell signals for targeted equities when it determines there is an opportunity for profit.  Pioneered by experts in the field of machine learning and applied financial analysis, Afinin provides a trading algorithm unlike anything available in the marketplace.  Backed by years of research excellence, the algorithm delivers a trading signal with a high level of prediction accuracy to the execution systems of hedge funds.  Hedge funds realize an exceptional rate of return for investors by leveraging the algorithm for the management of a portion of their funds under management.",http://www.afinin.com
United States, District of Columbia,Washington,Afiniti,Business Intelligence,"Afiniti combines artificial intelligence and ""big data"" to pair customers and agents in contact centers based on behavior, replacing traditional time-based routing.",http://www.afiniti.com
United States,Minnesota,Minneapolis,Aftercode,Software Development,Aftercode is a Minneapolis-based company in stealth mode that is focused on Artificial Intelligence.,http://www.aftercode.io
United States,California,San Mateo,Agari Data,Defense/Security,"Agari, formerly Authentication Metrics, collects terabytes of email data from sources across the Internet to create a cloud-based solution to assess, visualize, and protect against email threats to brands, such as phishing and other fraud. The Agari Email Trust Network becomes more pervasive and intelligent as more join Agari to protect email users, customers, brands, business models, and corporate and cyber infrastructure. Founded by the leaders behind Cisco's IronPort solutions, the Agari platform provides global brands with the tools needed to proactively protect brand reputation, eliminate email threats, protect customers and prevent the loss of sensitive data.",http://www.agari.com
United States,California,San Francisco,Agent IQ,Communication,Agent IQ is an AI-assisted customer engagement and workflow management platform that helps brands to provide high-quality 1:1 customer service to customers at scale and in real-time. Agent IQ's machine learning algorithms continuously learn from ongoing live conversations between customers and agents.,http://www.agentiq.com
United States, California,Los Angeles,AgentRisk - Superhuman Wealth Management,Fintech,"Automated portfolio management & option strategies, all managed by A.I.",https://www.agentrisk.com/
United States, California,Los Angeles,AGI Innovations Inc.,Communication,"AGI Innovations is a developer of an advanced, general-purpose natural language intelligence engine.",http://www.agi-3.com
United States,New York,Astoria,Agilingua,Communication,Agilingua is a company that offers speech recognition software.,http://www.agilingua.com
United States,California,Mountain View,AgilOne,Sales/Marketing,"AgilOne is a cloud-based predictive marketing platform. It is used by brands including Shazam, Sports Authority, Moosejaw and shopPBS.org. AgilOne helps marketers connect with the individual in every customer. AgilOne prescribes exactly the right marketing offer, makes each relationship more profitable, and simplifies the science of marketing. Based on a data science approach, AgilOne makes big customer data clean and smart. Then, AgilOne recommends which immediate actions will increase revenue.",http://www.agilone.com
United States, California,San Francisco,Agnito Labs,Communication,Uses analytics and machine learning to help people understand and change the way they communicate over email.,https://www.legalrobot.com
United States,New York,New York,Agolo,Communication,Agolo creates personalized summaries of what's happening in social networks and in the news. Agolo uses machine learning and natural language processing to simplify and summarize the stories that actually matter to you.,http://www.agolo.com
United States, Massachusetts,Boston,Agora,Communication,Agora is a daily digest that discovers the most important ideas and insights on slack for you.,https://agora.co
India,,Bengaluru,Agora Analytics,Business Intelligence,Agora Analytics is into the business of helping enterprises save precious dollars by custom building solutions that can learn from its human users how to complete routine tasks… The company's based on artificial intelligence and predictive analytics based platform…,http://www.agoranalytics.com
Ukraine,,Kiev,Agri Eye,Agriculture,"Agri Eye interfaces together a high-performance multispectral camera carried by a drone with a precision lab and online mapping service. When the data is processed, an intelligent decision support software shows a map where and in which amounts fertilizers and herbicides should be applied…",http://www.agrieye.io
United States, New York,Brooklyn,Agrilyst,Agriculture,The virtual agronomist powering the horticulture industry.,https://www.agrilyst.com
Uruguay,,Montevideo,Agronostico,Agriculture,Agronostico applies artificial intelligence to agriculture in order to maximize the profitability of the producer.,http://www.agronostico.com
United States,,,AgVision,Agriculture,"AgVision uses Artificial Intelligence technologies to automatically monitor food intake by cattle in feedlots, increasing their weight gain and reducing the number of animals who get sick.",http://www.agvision.launchrock.com
United States,California,Sunnyvale,Agylytyx,Fintech,Agylytyx provides cloud-based enterprise business analytic software solutions. Agylytyx Autosense uses collective inferencing and artificial intelligence to assess alternative investments and empirically determine which are more likely to succeed.,http://www.agylytyx.com
Japan,,,AI Academy,Core AI,,https://ai-academy.com/
Japan,,Tokyo,AI inside,Software Development,,http://inside.ai/
South Korea,,Seoul,AI Labs,Core AI,AI tax service mobile app,http://ai.dongguk.edu
United States, California,Belmont,AI Machines Inc,Sales/Marketing,An A.I. Bot that TRULY UNDERSTANDs what it takes to SELL,http://www.ai-machine.com/
Japan,,Tokyo,AI Messenger,Communication,,https://www.ai-messenger.jp/
United States,North Carolina,Research Triangle Park,AI Patents,Data Analytics,"Artificial Intelligence Patents, has developed a patent-pending solution that will enable everyone and not just experienced patent searchers to quickly identify the most relevant technical literature. AIP developed a patent search technology management tool that utilizes a proprietary learning technology that assimilates only the relevant technological conceptual links between search items.",http://www.aipatents.com
Japan,,,AI Samurai,Robotics,,http://www.ai-samurai.com/
Japan,,Tokyo,AI Squared,Core AI,,https://www.ai2-jp.com/
Japan,,Tokyo,AI Travel,Travel,,http://aitravel.jp/
China,,Haidian District,AI-Robotics,Communication,,http://www.ai-robotics.cn
China,,Shenzhen,Ai.Frame,Robotics,,http://aiframe.me
Japan,,Tokyo,AIBeacon,Data Analytics,,http://aibeacon.jp/
United States, California,Menlo Park,AIBrain,Core AI,"AIBrain is an artificial intelligence company headquartered at Stanford Research Park in Palo Alto, California.",http://aibrain.com/
Singapore, Central Region,Singapore,AiChat,Communication,"AiChat is a chatbot platform that allows businesses to deliver content, automate replies, and engage customers via Facebook Messenger.", http://aichat.co/
United States,New York,New York,AiCure,Healthcare,"AIC Innovations Group, dba AiCure, provides a mobile software-as-a-service (SaaS) healthcare platform that applies machine learning, computer vision, and big data to bring better health, better drugs, and better treatment to those who need it the most. The technology solution, which uses artificial intelligence to visually confirm medication ingestion, has been validated against drug levels in blood samples, and across other patient populations, from elderly stroke patients to study participants in schizophrenia and HIV prevention trials.",http://www.aicure.com
United Kingdom,England,London,Aiden,Sales/Marketing,Aiden is an AI powered virtual colleague for marketers.,http://www.aiden.ai
Netherlands,,Amsterdam,Aidence,Core AI,"Aidence, based in Amsterdam, focuses primarily on the detection of lung cancer on X-ray / CT and MRI scans. Aidence provides radiologists with a software platform that automatically detects and classifies various disorders on multiple imaging modalities, using Artificial Intelligence, for computers to read medical images and automatically provide structured reports.",http://www.aidence.com
South Korea,,Seoul,aidentify,Computer Vision,Image and log data analysis solution using deep learning,http://www.aidentify.io/
Israel, Tel Aviv,Tel Aviv,Aidoc,Healthcare,"Deep Learning startup in the radiology space, augmenting the radiologist workflow by detecting & highlighting findings in medical images",http://www.aidoc.com
China, Guangdong,Shenzhen,AiDriving,Transportation,AiDriving develops intelligent and advanced sensor based anti-collision smart devices.,http://www.aidriving.com
Hong Kong,,Central,Aidyia,Fintech,"Aidyia deploys artificial general intelligence (AGI) technology to identify patterns and predict price movements in global financial markets. AGI is a branch of artificial intelligence aimed at learning mimicking the human brain's breadth, depth and generality of understanding. Applied to financial markets, the result is financial prediction and trading systems with a human like ability to not only recognize mathematical patterns in market data, but to understand what these patterns mean in a broader context. Without the human limitations of memory, emotion, bias and mood, AGI systems can apply their financial insights in an objective way.",http://www.aidyia.com
Sweden,,Stockholm,Aifloo,Healthcare,"Develops a nonintrusive e-health system, based on Artificial Intelligence, which increases security and enables elderly to live longer in their homes.",http://www.aifloo.com
Finland,,Seinäjoki,Aigiant,Agriculture,Aigiant globally advances climate smart precision agriculture and rapid adoption of open data and AI to achieve sustainable and secure food for all.,www.aigiant.fi
China,,Haidian District,AIHelp,Communication,,http://www.cs30.net
Netherlands,,Amsterdam,Aiir Innovations,Automation,,https://www.aiir.nl/
Finland,,,Aikumo,Business Intelligence,"Aikumo is a software company providing data analytics services for energy and manufacturing industries. We help our customers to optimize operations, processes and energy efficiency. Our solutions are based on a unique, intelligent machine learning technology that enables finding value from data and utilizing it incredibly fast!",http://www.aikumo.com/
South Korea,,Seoul,AIM,Fintech,AIM is an artificial intelligence-powered app for automated investment management. The fintech company has developed a system which works alongside existing investment institutions to allow users in Korea to make trades and investments via their smartphone.,http://www.getaim.co
Belarus,,,AIMatter,Core AI,AIMatter is a developer of AI-powered real-time image processing solutions on mobile. Its applications Fabby and Fabby Look use this technology to enable users to create designer selfies and to change hair color.,http://www.fab.by
United Kingdom,,London,AimBrain,Fintech,,https://aimbrain.com
Canada,Ontario,Waterloo,Aimetis,Business Intelligence,Aimetis is an intelligent video management software company. Aimetis offers a range of products and services for security surveillance and business intelligence applications.,http://www.aimetis.com
